Column,Name of Field,Description,Comments,,,,,
WT,FEMALE_ADMIN_TELEPH_FTE,Female Telephonist Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WU,FEMALE_ADMIN_ESTATES_ANC_FTE,Female Estates and Ancillary Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WV,FEMALE_ADMIN_OTH_FTE,Female Admin/Non-clinical Other Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WW,FEMALE_ADMIN_APP_FTE,Female Admin/Non-clinical Apprentice Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WX,TOTAL_ADMIN_HC_UNDER25,Total Admin/Non-clinical aged under 25 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WY,TOTAL_ADMIN_HC_25TO29,Total Admin/Non-clinical aged 25 to 29 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WZ,TOTAL_ADMIN_HC_30TO34,Total Admin/Non-clinical aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
XA,TOTAL_ADMIN_HC_35TO39,Total Admin/Non-clinical aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
XB,TOTAL_ADMIN_HC_40TO44,Total Admin/Non-clinical aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
XC,TOTAL_ADMIN_HC_45TO49,Total Admin/Non-clinical aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
XD,TOTAL_ADMIN_HC_50TO54,Total Admin/Non-clinical aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
XE,TOTAL_ADMIN_HC_55TO59,Total Admin/Non-clinical aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
XF,TOTAL_ADMIN_HC_60TO64,Total Admin/Non-clinical aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
